Rk,Player,From,To,School,G,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Passing Int,Passing Rate
156,Nick Foles,2007,2011,,36,938,1403,66.9,10068,67,33,138.2
157,Jerrod Johnson,2007,2010,Texas A&M,37,650,1109,58.6,8011,67,27,134.4
158,Thaddeus Lewis,2006,2009,Duke,47,877,1510,58.1,10065,67,40,123.4
159,Drew Olson,2002,2005,UCLA,45,664,1148,57.8,8532,67,32,134.0
160,Curtis Painter,2005,2008,Purdue,46,987,1648,59.9,11163,67,46,124.6
Rk,Player,From,To,School,G,Cmp,Att,Pct,Yds,TD,Int,Rate
161,Tyler Tettleton,2009,2013,Ohio,46,732,1174,62.4,9129,67,28,141.7
162,Willie Tuitama,2005,2008,Arizona,40,786,1276,61.6,9211,67,31,134.7
163,Kirk Cousins,2008,2011,Michigan State,43,723,1128,64.1,9131,66,30,146.1
164,David Fales,2012,2013,San Jose State,25,639,938,68.1,8382,66,22,161.7
165,Trevor Lawrence,2018,2019,Clemson,30,527,804,65.5,6945,66,12,162.2
166,Tyler Palko,2002,2006,Pittsburgh,41,645,1075,60.0,8343,66,25,140.8
167,Zac Robinson,2006,2009,Oklahoma State,45,610,999,61.1,8317,66,31,146.6
168,Darron Thomas,2008,2011,Oregon,31,449,733,61.3,5910,66,17,154.1
169,Alex McGough,2014,2017,Florida International,46,807,1335,60.4,9091,65,37,128.2
170,James Morgan,2016,2019,,42,699,1221,57.2,8654,65,34,128.8
171,Ryan Radcliff,2009,2012,Central Michigan,42,791,1347,58.7,9922,65,44,130.0
172,Jameis Winston,2013,2014,Florida State,27,562,851,66.0,7964,65,28,163.3
173,Brandon Allen,2012,2015,Arkansas,42,583,1016,57.4,7463,64,26,134.8
174,Shane Buechele,2016,2019,,36,710,1138,62.4,8565,64,26,139.6
175,Charlie Frye,2001,2004,Akron,46,913,1436,63.6,11049,64,32,138.5
176,Garrett Grayson,2011,2014,Colorado State,37,688,1113,61.8,9190,64,27,145.3
177,Kenny Hill,2013,2017,,38,768,1183,64.9,9192,64,29,143.1
178,Bryn Renner,2010,2013,North Carolina,35,668,1005,66.5,8221,64,25,151.2
179,Kyle Shurmur,2015,2018,Vanderbilt,44,722,1264,57.1,8865,64,29,128.2
